code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing,onset_choice,onset_feedback,onset_response,ctrial,ctrial2,trial,opswitch
101,101,1,0,33,12,3,1,1,-0.607,1,0,0,0,336.706,344.346,336099,88,85,183,0
101,101,1,0,34,13,3,0,0,0.306,1,0,0,0,349.778,354.055,350084,89,86,184,0
101,101,1,0,35,14,3,0,1,0.335,0,0,0,0,357.378,364.968,357713,90,87,185,0
101,101,1,0,36,15,3,1,0,0.293,0,0,0,0,370.268,373.8,370561,91,88,186,0
101,101,1,0,37,16,3,0,0,0.354,1,0,0,0,377.15,382.673,377504,92,89,187,0
101,101,1,0,38,17,3,1,1,0.302,1,0,0,0,387.766,392.958,388068,93,90,188,0
101,101,1,0,39,18,3,0,1,0.865,0,0,0,0,396.66,400.7,397525,94,91,189,0
101,101,1,0,40,19,3,0,0,0.324,1,0,0,0,405.838,410.84,406162,95,92,190,0
101,101,1,0,41,0,3,-2,-2,NaN,-1,1,1,0,415.084,0,NaN,0,0,0,1
101,101,1,0,42,1,3,1,1,0.561,1,1,0,0,422.999,427.57,423560,96,95,191,1
101,101,1,0,43,2,3,1,0,0.283,0,1,0,0,434.857,441.556,435140,97,96,192,1
101,101,1,0,44,3,3,1,1,0.322,1,1,0,0,448.212,452.867,448534,98,97,193,1
101,101,1,0,45,4,3,1,1,0.339,1,1,0,0,459.897,464.262,460236,99,98,194,1
101,101,1,0,46,5,3,0,1,0.605,0,1,0,0,467.623,472.411,468228,100,99,195,1
101,101,1,0,47,6,3,1,0,0.34,0,1,0,0,477.223,480.878,477563,101,100,196,1
101,101,1,0,48,7,3,1,0,0.303,0,1,0,0,486.727,490.568,487030,102,101,197,1
101,101,1,0,49,8,3,0,0,0.377,1,1,0,0,493.274,498.675,493651,103,102,198,1
101,101,1,0,50,9,3,0,0,0.303,1,1,0,0,502.735,506.23,503038,104,103,199,1
101,101,1,0,51,10,3,0,0,0.453,1,1,0,0,513.071,517.414,513524,105,104,200,1
101,101,1,0,52,11,3,1,1,0.245,1,1,0,0,522.022,527.66,522267,106,105,201,1
101,101,1,0,53,12,3,1,1,0.384,1,1,0,0,530.359,532.801,530743,107,106,202,1
101,101,1,0,54,13,3,0,1,0.579,0,1,0,0,538.546,545.429,539125,108,107,203,1
101,101,1,0,55,14,3,1,0,0.652,0,1,0,0,550.542,553.675,551194,109,108,204,1
101,101,1,0,56,15,3,1,0,0.314,0,1,0,0,557.15,561.319,557464,110,109,205,1
101,101,1,0,57,16,3,0,0,0.337,1,1,0,0,564.536,567.305,564873,111,110,206,1
101,101,1,0,58,17,3,1,1,0.272,1,1,0,0,570.318,573.817,570590,112,111,207,1
101,101,1,0,59,18,3,1,1,0.321,1,1,0,0,581.068,585.695,581389,113,112,208,1
101,101,1,0,60,19,3,0,1,0.474,0,1,0,0,588.487,595.501,588961,114,113,209,1
101,101,1,0,61,0,3,-2,-2,NaN,-1,0,1,0,599.008,0,NaN,0,0,0,0
101,101,1,0,62,1,3,0,0,0.52,1,0,0,0,611.442,615.872,611962,96,93,210,0
101,101,1,0,63,2,3,0,0,0.327,1,0,0,0,621.397,625.211,621724,97,94,211,0
101,101,1,0,64,3,3,0,1,0.29,0,0,0,0,629.429,634.795,629719,98,95,212,0
101,101,1,0,65,4,3,0,0,0.386,1,0,0,0,641.075,644.989,641461,99,96,213,0
101,101,1,0,66,5,3,0,1,0.286,0,0,0,0,649.473,652.527,649759,100,97,214,0
