code,idc,id,social,rtrial,blocktrial,run,payoff,choice,rt,opchoice,opponent,blank,missing
101,101,1,0,73,12,3,1,0,0.282,0,0,0,0
101,101,1,0,74,13,3,0,0,0.438,1,0,0,0
101,101,1,0,75,14,3,1,1,0.308,1,0,0,0
101,101,1,0,76,15,3,0,0,0.244,1,0,0,0
101,101,1,0,77,16,3,#NAME?,NaN,NaN,1,0,0,1
101,101,1,0,78,17,3,1,0,-6.438,0,0,0,0
101,101,1,0,79,18,3,0,0,0.467,1,0,0,0
101,101,1,0,80,19,3,0,1,-2.575,0,0,0,0
102,102,2,0,1,0,1,-2,-2,NaN,-1,1,1,0
102,102,2,0,2,1,1,#NAME?,NaN,NaN,0,1,0,1
102,102,2,0,3,2,1,1,0,-0.64,0,1,0,0
102,102,2,0,4,3,1,0,0,-1.631,1,1,0,0
102,102,2,0,5,4,1,1,1,-0.394,1,1,0,0
102,102,2,0,6,5,1,1,0,-1.578,0,1,0,0
102,102,2,0,7,6,1,1,1,-1.36,1,1,0,0
102,102,2,0,8,7,1,0,0,-3.39,1,1,0,0
102,102,2,0,9,8,1,0,0,-0.727,1,1,0,0
102,102,2,0,10,9,1,1,0,-2.653,0,1,0,0
102,102,2,0,11,10,1,1,1,-0.63,1,1,0,0
102,102,2,0,12,11,1,1,1,-3.993,1,1,0,0
102,102,2,0,13,12,1,0,1,-3.395,0,1,0,0
102,102,2,0,14,13,1,1,0,-3.286,0,1,0,0
102,102,2,0,15,14,1,0,0,-0.547,1,1,0,0
102,102,2,0,16,15,1,0,0,-1.89,1,1,0,0
102,102,2,0,17,16,1,0,0,-2.279,1,1,0,0
102,102,2,0,18,17,1,0,0,-2.947,1,1,0,0
102,102,2,0,19,18,1,1,1,-5.62,1,1,0,0
102,102,2,0,20,19,1,1,0,-0.001,0,1,0,0
102,102,2,0,21,0,1,-2,-2,NaN,-1,0,1,0
102,102,2,0,22,1,1,1,1,-2.623,1,0,0,0
102,102,2,0,23,2,1,0,0,-0.231,1,0,0,0
102,102,2,0,24,3,1,1,1,-0.023,1,0,0,0
102,102,2,0,25,4,1,0,1,0.697,0,0,0,0
102,102,2,0,26,5,1,1,0,-0.98,0,0,0,0
102,102,2,0,27,6,1,1,1,-0.696,1,0,0,0
102,102,2,0,28,7,1,1,0,-3.861,0,0,0,0
102,102,2,0,29,8,1,1,0,-6.437,0,0,0,0
102,102,2,0,30,9,1,1,1,-1.886,1,0,0,0
102,102,2,0,31,10,1,1,1,-1.354,1,0,0,0
102,102,2,0,32,11,1,0,0,-1.438,1,0,0,0
102,102,2,0,33,12,1,1,0,-3.088,0,0,0,0
102,102,2,0,34,13,1,0,1,-1.402,0,0,0,0
102,102,2,0,35,14,1,0,0,-0.685,1,0,0,0
102,102,2,0,36,15,1,0,1,0.182,0,0,0,0
102,102,2,0,37,16,1,0,1,-2.269,0,0,0,0
102,102,2,0,38,17,1,1,1,-2.225,1,0,0,0
102,102,2,0,39,18,1,1,1,-2.486,1,0,0,0
102,102,2,0,40,19,1,0,0,-4.04,1,0,0,0
102,102,2,0,41,0,1,-2,-2,NaN,-1,1,1,0
102,102,2,0,42,1,1,1,0,-14,0,1,0,0
102,102,2,0,43,2,1,0,0,1.365,1,1,0,0
102,102,2,0,44,3,1,1,1,-0.746,1,1,0,0
102,102,2,0,45,4,1,0,1,-4.471,0,1,0,0
102,102,2,0,46,5,1,1,0,-0.565,0,1,0,0
102,102,2,0,47,6,1,1,1,-0.678,1,1,0,0
102,102,2,0,48,7,1,0,1,-0.589,0,1,0,0
102,102,2,0,49,8,1,1,0,-1.385,0,1,0,0
102,102,2,0,50,9,1,1,1,-3.506,1,1,0,0
102,102,2,0,51,10,1,1,0,-2.489,0,1,0,0
102,102,2,0,52,11,1,1,1,-3.079,1,1,0,0
102,102,2,0,53,12,1,0,1,-5.724,0,1,0,0
102,102,2,0,54,13,1,1,1,-1.019,1,1,0,0
102,102,2,0,55,14,1,1,0,-1.738,0,1,0,0
102,102,2,0,56,15,1,1,1,0.535,1,1,0,0
102,102,2,0,57,16,1,0,0,0.479,1,1,0,0
102,102,2,0,58,17,1,0,1,-4.909,0,1,0,0
102,102,2,0,59,18,1,0,1,0.64,0,1,0,0
102,102,2,0,60,19,1,1,0,0.641,0,1,0,0
102,102,2,0,61,0,1,-2,-2,NaN,-1,0,1,0
102,102,2,0,62,1,1,1,1,-4.871,1,0,0,0
102,102,2,0,63,2,1,1,1,1.489,1,0,0,0
102,102,2,0,64,3,1,1,0,0.922,0,0,0,0
102,102,2,0,65,4,1,0,1,0.686,0,0,0,0
102,102,2,0,66,5,1,1,0,-1.063,0,0,0,0
102,102,2,0,67,6,1,0,0,-1.349,1,0,0,0
102,102,2,0,68,7,1,1,1,-0.791,1,0,0,0
102,102,2,0,69,8,1,1,0,-0.689,0,0,0,0
102,102,2,0,70,9,1,1,1,0.83,1,0,0,0
102,102,2,0,71,10,1,0,0,-3.349,1,0,0,0
102,102,2,0,72,11,1,0,1,-5.354,0,0,0,0
102,102,2,0,73,12,1,0,1,-0.764,0,0,0,0
102,102,2,0,74,13,1,1,0,-0.916,0,0,0,0
102,102,2,0,75,14,1,1,1,-3.848,1,0,0,0
102,102,2,0,76,15,1,0,0,-0.936,1,0,0,0
102,102,2,0,77,16,1,0,1,-1.258,0,0,0,0
102,102,2,0,78,17,1,1,0,-1.892,0,0,0,0
102,102,2,0,79,18,1,0,0,-3.218,1,0,0,0
102,102,2,0,80,19,1,1,0,-4.946,0,0,0,0
102,102,2,0,1,0,2,-2,-2,NaN,-1,1,1,0
102,102,2,0,2,1,2,1,0,0.723,0,1,0,0
102,102,2,0,3,2,2,1,1,1.061,1,1,0,0
102,102,2,0,4,3,2,1,0,0.554,0,1,0,0
102,102,2,0,5,4,2,1,1,0.614,1,1,0,0
102,102,2,0,6,5,2,1,0,0.601,0,1,0,0
102,102,2,0,7,6,2,0,1,0.56,0,1,0,0
102,102,2,0,8,7,2,1,1,0.637,1,1,0,0
102,102,2,0,9,8,2,1,0,0.608,0,1,0,0
102,102,2,0,10,9,2,0,0,0.917,1,1,0,0
102,102,2,0,11,10,2,1,1,1.341,1,1,0,0
102,102,2,0,12,11,2,1,0,0.767,0,1,0,0
102,102,2,0,13,12,2,0,0,0.759,1,1,0,0
102,102,2,0,14,13,2,1,1,0.815,1,1,0,0
102,102,2,0,15,14,2,1,0,0.927,0,1,0,0
102,102,2,0,16,15,2,1,1,0.905,1,1,0,0
102,102,2,0,17,16,2,1,1,1.047,1,1,0,0
102,102,2,0,18,17,2,1,0,0.757,0,1,0,0
102,102,2,0,19,18,2,1,1,0.681,1,1,0,0
102,102,2,0,20,19,2,0,1,0.75,0,1,0,0
102,102,2,0,21,0,2,-2,-2,NaN,-1,0,1,0
102,102,2,0,22,1,2,0,1,1.085,0,0,0,0
102,102,2,0,23,2,2,0,0,0.457,1,0,0,0
102,102,2,0,24,3,2,1,1,0.501,1,0,0,0
102,102,2,0,25,4,2,1,0,0.89,0,0,0,0
102,102,2,0,26,5,2,0,1,0.983,0,0,0,0
102,102,2,0,27,6,2,0,0,0.501,1,0,0,0
102,102,2,0,28,7,2,1,1,1.433,1,0,0,0
102,102,2,0,29,8,2,1,0,0.865,0,0,0,0
102,102,2,0,30,9,2,1,0,0.981,0,0,0,0
102,102,2,0,31,10,2,1,1,0.589,1,0,0,0
102,102,2,0,32,11,2,0,0,0.548,1,0,0,0
102,102,2,0,33,12,2,0,1,0.639,0,0,0,0
102,102,2,0,34,13,2,1,0,0.713,0,0,0,0
102,102,2,0,35,14,2,1,1,0.451,1,0,0,0
102,102,2,0,36,15,2,1,1,1.649,1,0,0,0
102,102,2,0,37,16,2,1,0,0.771,0,0,0,0
102,102,2,0,38,17,2,1,0,0.914,0,0,0,0
102,102,2,0,39,18,2,1,1,0.984,1,0,0,0
102,102,2,0,40,19,2,0,0,0.868,1,0,0,0
102,102,2,0,41,0,2,-2,-2,NaN,-1,1,1,0
102,102,2,0,42,1,2,0,0,0.571,1,1,0,0
102,102,2,0,43,2,2,0,0,0.54,1,1,0,0
102,102,2,0,44,3,2,0,0,1.619,1,1,0,0
102,102,2,0,45,4,2,1,1,0.525,1,1,0,0
102,102,2,0,46,5,2,0,0,0.54,1,1,0,0
102,102,2,0,47,6,2,1,1,0.488,1,1,0,0
102,102,2,0,48,7,2,0,1,0.474,0,1,0,0
102,102,2,0,49,8,2,1,0,0.487,0,1,0,0
102,102,2,0,50,9,2,0,1,0.504,0,1,0,0
102,102,2,0,51,10,2,1,0,0.644,0,1,0,0
